Green Testing Accuracy: 0.49056603773584906	 F1: 0.49056603773584906
Green Testing Accuracy: 0.3584905660377358	 F1: 0.3584905660377358
Green Testing Accuracy: 0.4528301886792453	 F1: 0.4528301886792453
Green Testing Accuracy: 0.41509433962264153	 F1: 0.41509433962264153
Green Testing Accuracy: 0.18867924528301888	 F1: 0.18867924528301885
Green Testing Accuracy: 0.39622641509433965	 F1: 0.39622641509433965
Green Testing Accuracy: 0.33962264150943394	 F1: 0.33962264150943394
Green Testing Accuracy: 0.11320754716981132	 F1: 0.11320754716981132
Green Testing Accuracy: 0.33962264150943394	 F1: 0.33962264150943394
Green Testing Accuracy: 0.3018867924528302	 F1: 0.3018867924528302
Green Testing Accuracy: 0.2641509433962264	 F1: 0.2641509433962264
Green Testing Accuracy: 0.4528301886792453	 F1: 0.4528301886792453
Green Testing Accuracy: 0.2641509433962264	 F1: 0.2641509433962264
Green Testing Accuracy: 0.32075471698113206	 F1: 0.32075471698113206
Green Testing Accuracy: 0.2641509433962264	 F1: 0.2641509433962264
Green Testing Accuracy: 0.3018867924528302	 F1: 0.3018867924528302
Green Testing Accuracy: 0.37735849056603776	 F1: 0.3773584905660377
Green Testing Accuracy: 0.3018867924528302	 F1: 0.3018867924528302
Green Testing Accuracy: 0.2830188679245283	 F1: 0.2830188679245283
Green Testing Accuracy: 0.3018867924528302	 F1: 0.3018867924528302
Green Testing Accuracy: 0.32075471698113206	 F1: 0.32075471698113206
Green Testing Accuracy: 0.2641509433962264	 F1: 0.2641509433962264
Green Testing Accuracy: 0.2641509433962264	 F1: 0.2641509433962264
Green Testing Accuracy: 0.3018867924528302	 F1: 0.3018867924528302
Green Testing Accuracy: 0.2830188679245283	 F1: 0.2830188679245283
Green Testing Accuracy: 0.22641509433962265	 F1: 0.22641509433962265
Green Testing Accuracy: 0.32075471698113206	 F1: 0.32075471698113206
Green Testing Accuracy: 0.33962264150943394	 F1: 0.33962264150943394
Green Testing Accuracy: 0.37735849056603776	 F1: 0.3773584905660377
Green Testing Accuracy: 0.3584905660377358	 F1: 0.3584905660377358
Green Testing Accuracy: 0.18867924528301888	 F1: 0.18867924528301885
Green Testing Accuracy: 0.33962264150943394	 F1: 0.33962264150943394
